elapsed_s,ep_aim_rate,ep_approach_total,ep_attack_when_aimed,ep_full_log_max,ep_full_log_mean,ep_jump_rate,ep_len,ep_return,ep_yaw_rate,episode,global_step,logs_acquired,truncated,wall_t
80.73742485046387,0.0,11.101158440078729,0,0.019888446510937255,0.01661815738993678,0.15454545454545454,220,54.84636722260029,0.7181818181818181,1,220,1,False,1777288358.1266055
201.90883898735046,0.0,28.264335936914396,0,0.02127019345885064,0.017358782664448177,0.2778993435448578,457,93.52688454976305,0.6192560175054704,2,677,1,False,1777288479.2980194
314.7579960823059,0.02570093457943925,42.879572918473684,0,0.13614794222862825,0.024728421374836686,0.4696261682242991,428,118.52445471286774,0.5046728971962616,3,1105,1,False,1777288592.1471767
491.9412944316864,0.0,24.967192879880457,0,0.019577544523948734,0.018207487764563733,0.4698972099853157,681,109.35427141189575,0.5286343612334802,4,1786,1,False,1777288769.330475
512.2881999015808,0.15873015873015872,13.003166417159793,4,0.46238371516095156,0.049704945951848545,0.47619047619047616,63,54.1447930932045,0.4126984126984127,5,1849,1,False,1777288789.6773803
825.0443511009216,0.1912613355317395,317.3572877067728,83,0.6845654832402055,0.3816755779653493,0.40065952184666115,1213,905.3806780353189,0.12283594394064304,6,3062,1,False,1777289102.4335313
873.3304190635681,0.9704142011834319,44.92847969285308,84,0.6855470911210534,0.6458400416912263,0.2781065088757396,169,251.0388636291027,0.17159763313609466,7,3231,1,False,1777289150.7195997
912.6618580818176,0.9708029197080292,44.88152242741993,65,0.9828818294029753,0.6267130842262395,0.35036496350364965,137,207.09904098510742,0.10948905109489052,8,3368,1,False,1777289190.0510387
943.7725374698639,1.0,36.512252822211906,50,0.6594066947799163,0.591405613199048,0.28846153846153844,104,161.6033666729927,0.21153846153846154,9,3472,1,False,1777289221.1617181
949.5691661834717,1.0,2.17343033760886,3,0.6036610047524099,0.5853670463882898,0.2,5,32.512179493904114,0.2,10,3477,1,False,1777289226.9583468
978.1344637870789,1.0,24.314389229298587,42,0.7848790266447644,0.6276437214222091,0.43010752688172044,93,140.7873569726944,0.06451612903225806,11,3570,1,False,1777289255.5236444
1075.426504611969,0.0027397260273972603,66.40894883716942,1,0.5898560284644868,0.18699661913220098,0.35342465753424657,365,195.9397208900191,0.35342465753424657,12,3935,1,False,1777289352.815685
1109.619000673294,0.0,8.25920673233088,0,0.019939490120741338,0.017287040711774237,0.4188034188034188,117,42.93484854279086,0.5384615384615384,13,4052,1,False,1777289387.0081813
1303.6447293758392,0.0,29.84320116964827,0,0.020576999820811945,0.01804832285600174,0.5209742895805142,739,118.07688966300339,0.469553450608931,14,4791,1,False,1777289581.03391
1431.646252632141,0.0,25.285584499305017,0,0.03158278738087742,0.018970596575801735,0.5904365904365905,481,93.60020360350609,0.3991683991683992,15,5272,1,False,1777289709.0354333
1642.8262350559235,0.0,47.975456804612875,0,0.027301906175420113,0.018663186230928535,0.5899632802937577,817,147.30322775803506,0.38922888616891066,16,6089,1,False,1777289920.2154157
1677.3921239376068,0.0,8.133374739338489,0,0.025533227248292538,0.018987286239133972,0.452991452991453,117,44.407319193705916,0.49572649572649574,17,6206,1,False,1777289954.7813044
1717.1812250614166,0.0,8.408531635972679,0,0.0224784635230942,0.018377163799222645,0.4306569343065693,137,45.99774408712983,0.45985401459854014,18,6343,1,False,1777289994.5704057
1722.2162783145905,0.0,0.0,0,0.018941462617159364,0.018941462617159364,1.0,2,25.161027528345585,0.0,19,6345,1,False,1777289999.6054587
1735.0626051425934,0.0,2.357065684916007,0,0.035874733984264294,0.018954669705010772,0.28125,32,30.18833977729082,0.53125,20,6377,1,False,1777290012.4517858
2233.399540424347,0.9130434782608695,344.3597456529069,660,0.9991811605532127,0.8994210908553313,0.535358826610791,1909,2090.8229895681143,0.028287061288632794,21,8286,1,False,1777290510.7887208
2240.744602203369,0.0,0.8898081973895657,0,0.03604249969480918,0.021390063194779627,0.8181818181818182,11,26.90126632153988,0.18181818181818182,22,8297,1,False,1777290518.1337826
2260.86439204216,0.0,6.543505789344808,0,0.04667777489839466,0.019900874261622657,0.4666666666666667,60,37.10277635604143,0.4666666666666667,23,8357,1,False,1777290538.2535727
