run,tag,step,value
mc_real_v11_no_chat_spam,mc/ep_logs_mean,512,1
mc_real_v11_no_chat_spam,mc/ep_logs_mean,1024,0.8
mc_real_v11_no_chat_spam,mc/ep_logs_mean,1536,0.7
mc_real_v11_no_chat_spam,mc/ep_logs_mean,2048,0.7
mc_real_v11_no_chat_spam,mc/ep_logs_mean,2560,0.5
mc_real_v11_no_chat_spam,mc/ep_logs_mean,3072,0.4
mc_real_v11_no_chat_spam,mc/ep_logs_mean,3584,0.2
mc_real_v11_no_chat_spam,mc/ep_logs_mean,4096,0.1
mc_real_v11_no_chat_spam,mc/ep_logs_mean,4608,0
mc_real_v11_no_chat_spam,mc/ep_logs_mean,5120,0
mc_real_v11_no_chat_spam,mc/ep_logs_mean,5632,0
mc_real_v11_no_chat_spam,mc/ep_logs_mean,6144,0
mc_real_v11_no_chat_spam,mc/ep_logs_mean,6656,0
mc_real_v11_no_chat_spam,mc/ep_return_mean,512,41.5086
mc_real_v11_no_chat_spam,mc/ep_return_mean,1024,68.089
mc_real_v11_no_chat_spam,mc/ep_return_mean,1536,58.4602
mc_real_v11_no_chat_spam,mc/ep_return_mean,2048,48.2141
mc_real_v11_no_chat_spam,mc/ep_return_mean,2560,56.1733
mc_real_v11_no_chat_spam,mc/ep_return_mean,3072,72.2203
mc_real_v11_no_chat_spam,mc/ep_return_mean,3584,86.5791
mc_real_v11_no_chat_spam,mc/ep_return_mean,4096,90.9709
mc_real_v11_no_chat_spam,mc/ep_return_mean,4608,98.284
mc_real_v11_no_chat_spam,mc/ep_return_mean,5120,98.2988
mc_real_v11_no_chat_spam,mc/ep_return_mean,5632,98.2296
mc_real_v11_no_chat_spam,mc/ep_return_mean,6144,98.3248
mc_real_v11_no_chat_spam,mc/ep_return_mean,6656,98.3788
mc_real_v11_no_chat_spam,mc/ep_yaw_rate,512,0.31534
mc_real_v11_no_chat_spam,mc/ep_yaw_rate,1024,0.194908
mc_real_v11_no_chat_spam,mc/ep_yaw_rate,1536,0.195292
mc_real_v11_no_chat_spam,mc/ep_yaw_rate,2048,0.236626
mc_real_v11_no_chat_spam,mc/ep_yaw_rate,2560,0.255177
mc_real_v11_no_chat_spam,mc/ep_yaw_rate,3072,0.29045
mc_real_v11_no_chat_spam,mc/ep_yaw_rate,3584,0.336508
mc_real_v11_no_chat_spam,mc/ep_yaw_rate,4096,0.340771
mc_real_v11_no_chat_spam,mc/ep_yaw_rate,4608,0.311664
mc_real_v11_no_chat_spam,mc/ep_yaw_rate,5120,0.304835
mc_real_v11_no_chat_spam,mc/ep_yaw_rate,5632,0.268268
mc_real_v11_no_chat_spam,mc/ep_yaw_rate,6144,0.271574
mc_real_v11_no_chat_spam,mc/ep_yaw_rate,6656,0.277537
mc_real_v11_no_chat_spam,mc/episodes_seen,512,21
mc_real_v11_no_chat_spam,mc/episodes_seen,1024,25
mc_real_v11_no_chat_spam,mc/episodes_seen,1536,31
mc_real_v11_no_chat_spam,mc/episodes_seen,2048,35
mc_real_v11_no_chat_spam,mc/episodes_seen,2560,37
mc_real_v11_no_chat_spam,mc/episodes_seen,3072,39
mc_real_v11_no_chat_spam,mc/episodes_seen,3584,41
mc_real_v11_no_chat_spam,mc/episodes_seen,4096,43
mc_real_v11_no_chat_spam,mc/episodes_seen,4608,46
mc_real_v11_no_chat_spam,mc/episodes_seen,5120,48
mc_real_v11_no_chat_spam,mc/episodes_seen,5632,50
mc_real_v11_no_chat_spam,mc/episodes_seen,6144,52
mc_real_v11_no_chat_spam,mc/episodes_seen,6656,54
mc_real_v11_no_chat_spam,time/fps,512,2
mc_real_v11_no_chat_spam,time/fps,1024,2
mc_real_v11_no_chat_spam,time/fps,1536,2
mc_real_v11_no_chat_spam,time/fps,2048,2
mc_real_v11_no_chat_spam,time/fps,2560,3
mc_real_v11_no_chat_spam,time/fps,3072,3
mc_real_v11_no_chat_spam,time/fps,3584,3
mc_real_v11_no_chat_spam,time/fps,4096,3
mc_real_v11_no_chat_spam,time/fps,4608,3
mc_real_v11_no_chat_spam,time/fps,5120,3
mc_real_v11_no_chat_spam,time/fps,5632,3
mc_real_v11_no_chat_spam,time/fps,6144,3
mc_real_v11_no_chat_spam,time/fps,6656,3
mc_real_v11_no_chat_spam,train/approx_kl,1024,0.00839668
mc_real_v11_no_chat_spam,train/approx_kl,1536,0.0138293
mc_real_v11_no_chat_spam,train/approx_kl,2048,0.0194789
mc_real_v11_no_chat_spam,train/approx_kl,2560,0.0614484
mc_real_v11_no_chat_spam,train/approx_kl,3072,0.0496513
mc_real_v11_no_chat_spam,train/approx_kl,3584,0.0700738
mc_real_v11_no_chat_spam,train/approx_kl,4096,0.232927
mc_real_v11_no_chat_spam,train/approx_kl,4608,0.0171584
mc_real_v11_no_chat_spam,train/approx_kl,5120,0.00951918
mc_real_v11_no_chat_spam,train/approx_kl,5632,0.016409
mc_real_v11_no_chat_spam,train/approx_kl,6144,0.0182018
mc_real_v11_no_chat_spam,train/approx_kl,6656,0.0103689
mc_real_v11_no_chat_spam,train/clip_fraction,1024,0.145508
mc_real_v11_no_chat_spam,train/clip_fraction,1536,0.197266
mc_real_v11_no_chat_spam,train/clip_fraction,2048,0.262207
mc_real_v11_no_chat_spam,train/clip_fraction,2560,0.51123
mc_real_v11_no_chat_spam,train/clip_fraction,3072,0.469727
mc_real_v11_no_chat_spam,train/clip_fraction,3584,0.468262
mc_real_v11_no_chat_spam,train/clip_fraction,4096,0.62207
mc_real_v11_no_chat_spam,train/clip_fraction,4608,0.259766
