elapsed_s,ep_aim_rate,ep_approach_total,ep_attack_when_aimed,ep_full_log_max,ep_full_log_mean,ep_jump_rate,ep_len,ep_return,ep_yaw_rate,episode,global_step,logs_acquired,truncated,wall_t
26.360772371292114,1.0,0.0,4,0.4499142657963512,0.3748942324926119,0.0,6,32.99001145362854,0.16666666666666666,1,6,1,False,1777343898.830892
93.91323351860046,0.9736842105263158,1.5810075683685327,16,0.7737140650985983,0.3472556293432685,0.0,38,44.54991126060486,0.4473684210526316,2,44,1,False,1777343966.3833532
165.04310131072998,1.0,2.9313240893573926,17,0.5100227738805317,0.24367761598835977,0.02564102564102564,39,59.547096371650696,0.46153846153846156,3,83,1,False,1777344037.5132208
199.3982994556427,1.0,0.4712469989121053,8,0.5114658751297345,0.27104578013696634,0.0,15,49.91228270530701,0.26666666666666666,4,98,1,False,1777344071.8684192
233.22325682640076,1.0,1.3503692744870006,8,0.6789902745995424,0.2731204304348788,0.15384615384615385,13,57.9908242225647,0.0,5,111,1,False,1777344105.6933763
299.9773712158203,1.0,0.00015826049442977524,17,0.7802609696014805,0.2106524801320024,0.0,22,87.49773120880127,0.18181818181818182,6,133,1,False,1777344172.4474905
312.40924096107483,1.0,1.35,2,0.8167851471158295,0.5690428231622853,0.1111111111111111,9,27.682806730270386,0.3333333333333333,7,142,1,False,1777344184.8793607
367.10085892677307,1.0,0.0,13,0.9804132122894549,0.44401173550412015,0.03571428571428571,28,37.67608153820038,0.2857142857142857,8,170,1,False,1777344239.5709784
396.54492950439453,1.0,0.0,7,0.996871522176789,0.7361858343788512,0.0,9,41.29474580287933,0.2222222222222222,9,179,1,False,1777344269.015049
527.6925594806671,1.0,0.0,32,0.9933690806667418,0.8466348792204219,0.022727272727272728,44,69.68609666824341,0.06818181818181818,10,223,0,True,1777344400.162679
556.889702796936,1.0,0.0,7,0.988669330132173,0.8960998850364507,0.125,8,42.831148862838745,0.0,11,231,1,False,1777344429.3598225
601.4478261470795,1.0,0.0,11,0.9959008578109565,0.9076281037292684,0.13333333333333333,15,49.15511095523834,0.0,12,246,1,False,1777344473.9179459
649.6914863586426,1.0,0.0,12,0.9887994554275925,0.8709468705843368,0.0,16,51.92546999454498,0.125,13,262,1,False,1777344522.1616058
698.199226140976,1.0,0.0,12,0.9904461461029623,0.8880439517781077,0.058823529411764705,17,50.34843873977661,0.058823529411764705,14,279,1,False,1777344570.6693459
728.1200017929077,1.0,0.0,7,0.9894301528053919,0.9292391219089645,0.0,11,38.07090938091278,0.0,15,290,1,False,1777344600.5901215
757.5310821533203,1.0,0.0,7,0.9722297770441786,0.8215821985469733,0.0,9,41.24340045452118,0.1111111111111111,16,299,1,False,1777344630.0012019
843.1600649356842,1.0,0.0,22,0.9646270210451288,0.923121606258993,0.034482758620689655,29,74.81696224212646,0.06896551724137931,17,328,1,False,1777344715.6301847
905.5063700675964,1.0,0.0,16,0.9545198415675682,0.6166949277793754,0.1111111111111111,18,66.27846121788025,0.0,18,346,1,False,1777344777.9764895
960.2773735523224,1.0,0.0,13,0.7328390916707307,0.2949105323001016,0.0,28,40.91027235984802,0.32142857142857145,19,374,1,False,1777344832.7474933
1009.5733559131622,1.0,0.0,12,0.7399279895212014,0.2632162166597892,0.0,20,52.52466034889221,0.3,20,394,1,False,1777344882.0434756
1049.4673709869385,0.9130434782608695,0.0,8,0.7620242806767453,0.3366079918644422,0.0,23,40.59890913963318,0.5217391304347826,21,417,1,False,1777344921.9374905
